taxon,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1,composite_impact,pval,ci_lo,ci_hi
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii,-1.0,-0.005568450717023943,-0.0018134117126464844,0.000802243101160699,0.0,0.0,-0.034261620306431845,0.418,-0.648230729766903,0.5398026955345581
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,-2.0,-0.027860088413941497,0.05951797962188721,0.002848968170944606,0.0,-1.0,-0.04429347636361797,0.724,-1.0073563274325055,0.8570725011093202
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,1.0,0.03724424223777545,0.045773446559906006,1.5742297970952612e-06,-0.012010157108306885,0.0,-0.05180298878803719,0.594,-0.5398990180896226,0.8986439867148562
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified,-1.0,-0.037598222893433064,0.016407370567321777,0.001257762658159911,0.0,0.0,-0.06886757314814639,0.684,-0.43428495256679345,0.6375171698110493
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,-1.0,-0.02306475798163099,-0.005966901779174805,0.0008853692861035128,0.0,0.0,-0.09454359153393495,0.754,-0.6616429510831086,0.5851165113758269
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,1.0,0.025526674056624454,-0.046427130699157715,-0.0020027861453999415,0.0,0.0,-0.09648533947394139,0.798,-1.2509657010419097,1.5270483169250386
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae,-1.0,-0.016390816075524395,-0.008249044418334961,0.0006413522835184912,0.0,0.0,-0.09939434257012048,0.764,-0.6150722440686758,0.3262347481139461
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified,-1.0,-0.019458367627273265,-0.011963039636611938,0.0005622768462415634,0.0,0.0,-0.12451409327492345,0.744,-0.3916162428037474,0.29496831450668903
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,-1.0,-0.04365739625835108,0.021599292755126953,0.001312703429709211,-0.0021080970764160156,0.0,-0.1382186660131824,0.422,-1.3319139470434,1.1655198628626822
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_noname|s__Clostridiaceae_bacterium_JC118,-1.0,-0.022610023284218794,-0.014088153839111328,0.0004953745479990834,0.0,0.0,-0.14590899528457005,0.706,-0.5547683498614697,0.18268917592155884
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,-1.0,-0.01939597527650161,-0.018245398998260498,0.0003914434190203514,0.0,0.0,-0.1523199382156384,0.778,-0.36684737557911934,0.4321775432197546
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara,-1.0,-0.01939597527650161,-0.018245398998260498,0.0003914434190203514,0.0,0.0,-0.1523199382156384,0.904,-0.35953642538977304,0.17658594384884277
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum,-1.0,-0.02278338552183712,-0.015956223011016846,0.0004573277301688078,0.0,0.0,-0.15358686595660415,0.51,-0.7285776436329044,0.5008967750297384
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,-1.0,-0.015490177427163854,-0.013363361358642578,4.552246577568114e-05,0.0,0.0,-0.16422910709305075,0.406,-1.2257426182438669,1.1229936135757865
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,1.0,-0.009154353342500698,-0.026319444179534912,-0.001886889053108999,0.0,0.0,-0.1705986694273074,0.556,-1.2356075308951375,0.8763332152742068
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme,0.0,0.005022905960532231,-0.030504047870635986,-0.0007144822997631126,-0.0025876760482788086,0.0,-0.1823940477270414,0.432,-0.8430833939091432,0.4684304287193642
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila,-1.0,-0.02010660692891486,-0.02391907572746277,0.00020170864558739787,0.0,0.0,-0.18361800274515616,0.784,-1.0468152089215623,0.19788030271633897
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,0.0,-0.028814322704756368,-0.029177606105804443,-0.0007116489294098638,0.0,0.0,-0.2209173885924677,0.79,-0.3777301498592652,0.6157399948800286
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,0.0,-0.022380977448816175,-0.04293620586395264,-0.0012064063920183901,0.0,0.0,-0.2717370089610031,0.592,-1.2322420202841204,0.5539287328027264
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus,-1.0,-0.02328162746513751,-0.04358610510826111,-0.00024207423372966247,0.0,0.0,-0.2734425310874989,0.892,-0.8293788104002413,0.21517035915331556
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus,1.0,-0.022580264282232143,-0.00648874044418335,-0.0014978857961522665,0.0,-1.0,-0.2943355317683947,0.43,-0.9819434203609843,1.4975775849168729
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus,0.0,-0.01489016106231622,-0.03654789924621582,-0.0005769561546746238,0.0,-1.0,-0.32241474771171835,0.892,-1.324741470475433,0.8652854793351618
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,-2.0,-0.05254268300901366,-0.07055601477622986,0.00022378211611902288,0.0,0.0,-0.47018241167934344,0.934,-0.9814033912660672,0.29727721729593476
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_symbiosum,-3.0,-0.060573836772507494,-0.07005295157432556,0.0012206687964398388,0.0,0.0,-0.49154466674989644,0.866,-1.162527859339002,0.3331129744424812
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,-1.0,-0.009641943780156925,-0.024507641792297363,-0.0002722205888317786,0.0,-2.0,-0.49579610942850666,0.866,-1.568147698819587,0.7872466950266478
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae,0.0,-0.04037608613409782,-0.16266357898712158,-0.0042230177395920915,0.001716017723083496,1.0,-0.6435062250833559,0.818,-2.272751219354317,0.5275736296884882
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,-1.0,-0.03779141747074499,-0.0764736533164978,-0.0013925535353860458,0.0,-1.0,-0.6466050690047506,0.802,-1.314121274128917,0.656372962527553
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,-3.0,-0.07549890697622752,-0.1713535189628601,-0.0005671239344641893,0.009965360164642334,-1.0,-0.7534834467173974,0.738,-1.8347665603609793,0.7955845763158621
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,-2.0,-0.05959669105877108,-0.06612721085548401,0.0003339627921024532,0.0,-2.0,-0.7769308925173867,0.786,-1.3157087928565248,0.4886362349987677
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale,-2.0,-0.05855847623914334,-0.06416821479797363,9.328350564552501e-05,0.0,-2.0,-0.7936326531405077,0.852,-0.956070646259527,0.5514893642711897
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,-2.0,-0.05426891076415652,-0.07337117195129395,-0.0007263146574631521,-0.010082840919494629,-1.0,-1.0259806325967793,0.746,-2.3311907953208983,1.050685257544597
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii,-3.0,-0.04432612121824597,-0.2016812562942505,-0.002244668748037061,-0.011483609676361084,2.0,-1.0519501337785953,0.694,-2.2581816329779643,0.26760115932623757
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,0.0,0.0007529673428217087,-0.2159048318862915,-0.005272475557020137,0.0,-2.0,-1.2002653366017355,0.97,-2.105362397341375,0.43952818212405226
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,-2.0,-0.05278862199008083,-0.27095580101013184,-0.00437224419272772,0.0,-1.0,-1.4310020258339706,0.998,-2.243639848252204,0.07661143939210442
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae,-2.0,-0.04887276476522606,-0.21061545610427856,-0.003191397910016394,0.0,-4.0,-1.64489988447923,0.996,-2.1236105435980734,0.4422616444922716
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,-4.0,-0.10704553505563474,-0.38332313299179077,-0.005529002646971613,0.001716017723083496,-3.0,-2.369331255227157,1.0,-3.0692927945274158,-0.7241987033865905
