feature,mean_a,mean_b,cohens_d,perm_p,wilcox_p,n_ids_a,n_ids_b,comparison,subset,n_taxa,perm_p_fdr18,sig_fdr18
h1_mean_lifetime,0.0363,0.0328,0.5536,0.001996,0.0,308,922,diet,matched,80,0.004491,True
h1_max_lifetime,0.1168,0.1163,0.0185,0.866267,0.635039,308,922,diet,matched,80,0.866267,False
max_betti1,7.855,6.67,0.5689,0.001996,0.0,308,922,diet,matched,80,0.004491,True
h1_count,46.085,46.035,0.0067,0.962076,0.602146,590,2271,antibiotics,full,120,0.962076,False
h1_entropy,3.4029,3.4279,-0.1431,0.121756,0.224256,590,2271,antibiotics,full,120,0.1461072,False
h1_total_persistence,1.46,1.537,-0.2775,0.005988,0.019586,590,2271,antibiotics,full,120,0.008982,True
h1_mean_lifetime,0.0318,0.0336,-0.3879,0.001996,0.000103,590,2271,antibiotics,full,120,0.0035928,True
h1_max_lifetime,0.1356,0.1322,0.124,0.239521,0.162568,590,2271,antibiotics,full,120,0.269461125,False
max_betti1,10.26,12.76,-0.8936,0.001996,0.0,590,2271,antibiotics,full,120,0.0035928,True
h1_count,35.35,45.85,-1.3135,0.001996,0.0,165,3084,ibd,full,120,0.0035928,True
h1_entropy,3.1293,3.4214,-1.35,0.001996,0.0,165,3084,ibd,full,120,0.0035928,True
h1_total_persistence,0.9571,1.5154,-1.9601,0.001996,0.0,165,3084,ibd,full,120,0.0035928,True
h1_mean_lifetime,0.0271,0.0332,-1.3231,0.001996,0.0,165,3084,ibd,full,120,0.0035928,True
h1_max_lifetime,0.1119,0.1316,-0.753,0.001996,0.0,165,3084,ibd,full,120,0.0035928,True
max_betti1,7.56,12.135,-1.8158,0.001996,0.0,165,3084,ibd,full,120,0.0035928,True
h1_count,42.535,45.405,-0.44,0.001996,2.2e-05,367,2747,diet,full,120,0.0035928,True
h1_entropy,3.35,3.4092,-0.3528,0.003992,0.000329,367,2747,diet,full,120,0.0065323636363636365,True
h1_total_persistence,1.4742,1.4809,-0.0258,0.782435,0.698909,367,2747,diet,full,120,0.828460588235294,False
h1_mean_lifetime,0.0348,0.0328,0.4575,0.001996,5e-06,367,2747,diet,full,120,0.0035928,True
h1_max_lifetime,0.1348,0.1306,0.1765,0.105788,0.187576,367,2747,diet,full,120,0.13601314285714286,False
max_betti1,12.835,12.165,0.2187,0.03992,0.055548,367,2747,diet,full,120,0.05527384615384615,False
h1_count,45.26,44.435,0.1096,0.277445,0.200156,479,1284,antibiotics,matched,120,0.312125625,False
h1_entropy,3.3783,3.3906,-0.0666,0.522954,0.70978,479,1284,antibiotics,matched,120,0.5537160000000001,False
h1_total_persistence,1.4497,1.4597,-0.0349,0.724551,0.59473,479,1284,antibiotics,matched,120,0.724551,False
h1_mean_lifetime,0.0322,0.0329,-0.1593,0.133733,0.072869,479,1284,antibiotics,matched,120,0.1851687692307692,False
h1_max_lifetime,0.1393,0.1285,0.3777,0.001996,0.000141,479,1284,antibiotics,matched,120,0.0035928,True
max_betti1,10.46,12.37,-0.6189,0.001996,0.0,479,1284,antibiotics,matched,120,0.0035928,True
h1_count,37.47,50.485,-1.6786,0.001996,0.0,135,404,ibd,matched,120,0.0035928,True
h1_entropy,3.1991,3.5308,-1.7581,0.001996,0.0,135,404,ibd,matched,120,0.0035928,True
h1_total_persistence,1.0436,1.6741,-2.3403,0.001996,0.0,135,404,ibd,matched,120,0.0035928,True
h1_mean_lifetime,0.0281,0.0333,-1.2041,0.001996,0.0,135,404,ibd,matched,120,0.0035928,True
h1_max_lifetime,0.1095,0.1277,-0.8144,0.001996,0.0,135,404,ibd,matched,120,0.0035928,True
max_betti1,8.015,14.355,-2.2832,0.001996,0.0,135,404,ibd,matched,120,0.0035928,True
h1_count,42.485,46.395,-0.5901,0.001996,0.0,308,922,diet,matched,120,0.0035928,True
h1_entropy,3.3505,3.4148,-0.3859,0.001996,0.001043,308,922,diet,matched,120,0.0035928,True
h1_total_persistence,1.473,1.552,-0.2783,0.005988,0.006437,308,922,diet,matched,120,0.009798545454545456,True
h1_mean_lifetime,0.0348,0.0335,0.2669,0.011976,0.009861,308,922,diet,matched,120,0.017964,True
h1_max_lifetime,0.1326,0.136,-0.1296,0.231537,0.260074,308,922,diet,matched,120,0.2976904285714285,False
max_betti1,12.69,12.325,0.1201,0.263473,0.208282,308,922,diet,matched,120,0.312125625,False
